ID,Project Code,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Lead Time (Days)
4949,109-TZ-T01,SCMS-38410,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2009-02-05,2009-08-11,2009-08-11,11-Aug-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,10680,438948.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,2724.0,12620.12,860.34,187.0
5032,116-ZA-T01,SCMS-40780,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-17,2008-11-28,28-Nov-08,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,7000,113050.0,16.15,0.54,"Aurobindo Unit III, India",No,,,221.58,
5033,116-ZA-T01,SCMS-40780,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-17,2008-11-28,28-Nov-08,ARV,Adult,S. BUYS WHOLESALER,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,983,4875.68,4.96,0.08,"Aurobindo Unit III, India",No,,,9.56,
5034,116-ZA-T01,SCMS-40790,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-24,2008-12-01,1-Dec-08,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,1325,3339.0,2.52,0.04,"Aurobindo Unit III, India",No,,,6.54,
5035,116-ZA-T01,SCMS-40810,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-31,2008-12-02,2-Dec-08,ARV,Adult,S. BUYS WHOLESALER,"Nevirapine 200mg [Viramune], tablets, 60 Tabs",Nevirapine,Viramune,200mg,Tablet,60,2880,44812.8,15.56,0.26,"Boehringer Ing., Koropi, GR",No,,,87.83,
5036,116-ZA-T01,SCMS-40850,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-06-16,2009-01-28,28-Jan-09,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,6800,82620.0,12.15,0.2,"Aurobindo Unit III, India",Yes,,,161.94,
5037,116-ZA-T01,SCMS-40880,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-07-07,2009-02-02,2-Feb-09,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3414,49810.26,14.59,0.49,"Cipla, Goa, India",Yes,,,97.63,
5041,116-ZA-T01,SCMS-41040,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-04-07,2008-12-03,3-Dec-08,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,5000,62750.0,12.55,0.21,GSK Aranda,No,,,122.99,
5042,116-ZA-T01,SCMS-41060,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-05-05,2008-12-23,23-Dec-08,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,6215,102609.65,16.51,0.55,"Aurobindo Unit III, India",No,,,201.11,
5043,116-ZA-T01,SCMS-41060,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-05-05,2008-12-23,23-Dec-08,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,3000,7470.0,2.49,0.08,"MSD Midrand, J'burg, SA",No,,,14.64,
