ID,Project Code,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Lead Time (Days)
1,100-CI-T01,SCMS-4,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-06-02,2006-06-02,2-Jun-06,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13.0,780.34,,
3,108-VN-T01,SCMS-13,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-11-14,2006-11-14,14-Nov-06,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,358.0,4521.5,,
4,100-CI-T01,SCMS-20,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,,2006-08-27,2006-08-27,27-Aug-06,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,171.0,1653.78,,
15,108-VN-T01,SCMS-78,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-09-01,2006-09-01,1-Sep-06,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,1855.0,16007.06,,
16,108-VN-T01,SCMS-81,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-08-11,2006-08-11,11-Aug-06,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,7590.0,45450.08,,
23,112-NG-T01,SCMS-87,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-09-28,2006-09-28,28-Sep-06,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,504.0,5920.42,,
44,110-ZM-T01,SCMS-139,Zambia,PMO - US,Direct Drop,DDU,Air,Pre-PQ Process,,2007-01-08,2007-01-08,8-Jan-07,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,135,4374.0,32.4,0.36,MSD South Granville Australia,Yes,328.0,,,
45,109-TZ-T01,SCMS-140,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-11-24,2006-11-24,24-Nov-06,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,1478.0,6212.41,,
46,112-NG-T01,SCMS-156,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-12-07,2006-12-07,7-Dec-06,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,,,,
47,110-ZM-T01,SCMS-165,Zambia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2006-11-13,2007-01-30,2007-01-30,30-Jan-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,643.0,,,78.0
60,110-ZM-T01,SCMS-221,Zambia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2006-12-01,2007-02-16,2007-02-16,16-Feb-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,643.0,,,77.0
61,110-ZM-T01,SCMS-226,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-01-08,2007-01-08,8-Jan-07,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,853.0,13569.49,,
62,102-NG-T01,SCMS-230,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-01-10,2007-01-10,10-Jan-07,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,,,,
64,107-RW-T01,SCMS-268,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2006-12-22,2007-02-27,2007-02-27,27-Feb-07,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,7416.0,64179.42,,67.0
65,106-HT-T01,SCMS-274,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-01-18,2007-01-18,18-Jan-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256.0,1760.32,,
68,113-ZW-T01,SCMS-308,Zimbabwe,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2007-01-10,2007-03-19,2007-03-19,19-Mar-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Yes,,,,68.0
69,102-NG-T01,SCMS-354,Nigeria,PMO - US,Direct Drop,CIP,Unknown / Internal Transfer,Pre-PQ Process,,2007-05-07,2007-05-07,7-May-07,HRDT,HIV test,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1500,120000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,,,192.0,
80,107-RW-T01,SCMS-488,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-03-29,2007-03-29,29-Mar-07,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710.0,3120.7,,
87,109-TZ-T01,SCMS-555,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2007-04-12,2007-06-06,2007-06-06,6-Jun-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162.0,912.96,,55.0
92,102-NG-T01,SCMS-592,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-05-13,2007-06-19,2007-06-19,19-Jun-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341.0,2682.47,128.0,37.0
96,102-NG-T01,SCMS-570,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-05-17,2007-06-19,2007-06-19,19-Jun-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,7500,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2278.0,15893.71,,33.0
108,104-CI-T01,SCMS-698,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2007-07-13,2007-10-02,2007-10-02,2-Oct-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",Yes,2126.0,,224.93,81.0
115,108-VN-T01,SCMS-753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-07-04,2007-10-15,2007-10-15,15-Oct-07,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,941.0,4193.49,3.07,103.0
116,108-VN-T01,SCMS-759,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2007-07-04,2007-08-27,2007-08-27,27-Aug-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117.0,1767.38,65.75,54.0
130,100-HT-T01,SCMS-10080,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-07-26,2007-08-13,2007-08-21,21-Aug-07,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,Yes,171.0,3518.38,86.39,26.0
134,100-HT-T01,SCMS-10130,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-07-26,2007-08-25,2007-08-25,25-Aug-07,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,60.0,3097.85,14.0,30.0
138,109-TZ-T01,SCMS-10270,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-10-16,2007-10-16,16-Oct-07,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,27869.74,320.0,
139,109-TZ-T01,SCMS-10290,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-11-22,2007-11-22,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,28461.1,320.0,
140,109-TZ-T01,SCMS-10300,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2007-11-22,2007-11-22,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,28359.8,320.0,
161,117-ET-T01,SCMS-11070,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-10-03,2007-11-20,2007-11-20,20-Nov-07,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,4228.0,12237.61,158.72,48.0
176,102-NG-T01,SCMS-11750,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-08-28,2007-10-03,2007-10-03,3-Oct-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3263.0,20885.78,432.0,36.0
262,116-ZA-T01,SCMS-14050,South Africa,PMO - US,Direct Drop,DDP,Unknown / Internal Transfer,Pre-PQ Process,2007-11-12,2008-01-29,2008-01-29,29-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,,,0.51,78.0
269,108-VN-T01,SCMS-14190,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-11-19,2008-01-21,2008-01-21,21-Jan-08,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76.0,2282.57,27.2,63.0
270,108-VN-T01,SCMS-14200,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-11-21,2008-01-21,2008-01-21,21-Jan-08,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23.0,2149.05,5.36,61.0
284,107-RW-T01,SCMS-14630,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2007-12-10,2008-01-31,2008-01-31,31-Jan-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,Yes,99.0,0.75,0.02,52.0
305,123-NG-T01,SCMS-15550,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2008-02-05,2008-02-05,5-Feb-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,Yes,,,0.01,
343,116-ZA-T01,SCMS-16600,South Africa,PMO - US,Direct Drop,DDP,Unknown / Internal Transfer,Pre-PQ Process,2008-01-04,2008-01-21,2008-01-04,4-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,200,340.0,1.7,0.01,"BMS Meymac, France",Yes,,,0.54,0.0
361,125-HT-T01,SCMS-14080,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2008-02-18,2008-02-18,18-Feb-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,2,278.0,139.0,1.39,"Trinity Biotech, Plc",Yes,,,0.44,
391,104-CI-T01,SCMS-18290,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-02-27,2008-06-17,2008-06-17,17-Jun-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,509.0,5446.51,57.88,111.0
392,104-CI-T01,SCMS-18310,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-03-03,2009-03-19,2009-03-19,19-Mar-09,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,206.0,2656.12,25.83,381.0
398,102-GY-T01,SCMS-18480,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-02-28,2008-04-09,2008-04-01,1-Apr-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,240,2.4,0.01,0.0,Inverness Japan,Yes,,,0.0,33.0
399,102-GY-T01,SCMS-18500,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-02-28,2008-07-28,2008-07-28,28-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,Yes,14.0,360.0,0.0,151.0
400,117-ET-T01,SCMS-18430,Ethiopia,PMO - US,Direct Drop,DDP,Unknown / Internal Transfer,Pre-PQ Process,2008-02-29,2008-03-11,2008-03-11,11-Mar-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,63,13399.25,212.69,2.13,"Trinity Biotech, Plc",Yes,,,21.44,11.0
410,113-ZW-T01,SCMS-18870,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-03-17,2008-11-17,2008-11-17,17-Nov-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,373.0,4112.46,188.21,245.0
411,123-NG-T01,SCMS-18940,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-03-13,2008-04-17,2008-04-17,17-Apr-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,1425,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,483.0,5468.88,61.56,35.0
414,119-NA-T01,SCMS-19130,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-03-18,2008-06-04,2008-06-04,4-Jun-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,Yes,33.0,1715.17,16.36,78.0
420,108-VN-T01,SCMS-19490,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-03-31,2008-06-03,2008-06-03,3-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654.0,4051.34,154.29,64.0
422,116-ZA-T01,SCMS-19800,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2008-02-20,2008-04-24,2008-04-24,24-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,Yes,,,0.65,64.0
423,116-ZA-T01,SCMS-19800,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2008-02-20,2008-04-24,2008-04-24,24-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,"BMS Meymac, France",No,,,1.39,64.0
438,108-VN-T01,SCMS-20310,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2008-03-31,2008-07-12,2008-07-12,12-Jul-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81.0,2211.05,4.48,103.0
459,116-ZA-T01,SCMS-21460,South Africa,PMO - US,Direct Drop,DDP,Unknown / Internal Transfer,Pre-PQ Process,2008-04-04,2008-04-25,2008-04-07,7-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,6,77.1,12.85,0.21,"BMS Meymac, France",Yes,,,0.12,3.0
464,102-NG-T01,SCMS-21540,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2008-07-09,2008-07-09,9-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,5498,439785.02,79.99,0.8,Inverness Japan,Yes,1251.0,16090.22,703.66,
465,102-NG-T01,SCMS-21540,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2008-07-09,2008-07-04,4-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Inverness Japan,Yes,,,0.09,
466,117-ET-T01,SCMS-21550,Ethiopia,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2008-05-09,2008-05-09,9-May-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",Yes,,,1.11,
530,108-VN-T01,SCMS-23450,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-05-14,2008-09-19,2008-09-19,19-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,1537.0,13507.92,29.37,128.0
531,116-ZA-T01,SCMS-23500,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,,2008-08-20,2008-08-20,20-Aug-08,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,Zerit,20mg,Capsule,60,20,103.4,5.17,0.09,"BMS Meymac, France",Yes,,,0.2,
532,116-ZA-T01,SCMS-23500,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,,2008-08-20,2008-05-08,8-May-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,"BMS Meymac, France",Yes,,,3.05,
533,116-ZA-T01,SCMS-23500,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,,2008-08-20,2008-05-08,8-May-08,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,670,1025.1,1.53,0.01,"BMS Meymac, France",No,,,1.64,
535,109-TZ-T01,SCMS-23610,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2008-05-15,2008-09-02,2008-09-02,2-Sep-08,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",Yes,117.0,645.1,98.35,110.0
543,106-HT-T01,SCMS-23840,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-05-20,2008-09-30,2008-09-30,30-Sep-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,28,9800.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,109.0,782.13,15.68,133.0
551,106-HT-T01,SCMS-24020,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2008-05-23,2008-11-24,2008-11-24,24-Nov-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,84,11676.0,139.0,1.39,"Trinity Biotech, Plc",Yes,54.0,871.57,22.88,185.0
